control_result_id,control_id,control_name,domain,evaluated_at,status,severity,evidence_id,request_id,run_id,evaluation_message,rule_version
CR_000029,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-15T05:28:59,FAIL,CRITICAL,EVD_000545,,,Control violation detected; review linked evidence.,v1.0
CR_000030,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-12T19:29:27,PASS,NONE,EVD_000199,,,Control satisfied with available evidence.,v1.0
CR_000031,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-12T02:04:45,PASS,NONE,EVD_000114,,,Control satisfied with available evidence.,v1.0
CR_000032,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-10T23:39:13,NOT_EVALUATED,UNKNOWN,,ARQ_00005,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000033,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-11T00:06:31,PASS,NONE,EVD_000439,ARQ_00039,,Control satisfied with available evidence.,v1.0
CR_000034,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-08T01:42:50,PASS,NONE,EVD_000341,,,Control satisfied with available evidence.,v1.0
CR_000035,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-14T01:45:56,PASS,NONE,EVD_000064,,RUN_000114,Control satisfied with available evidence.,v1.0
CR_000036,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-11T08:38:10,PASS,NONE,EVD_000096,ARQ_00075,,Control satisfied with available evidence.,v1.0
CR_000037,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-06T22:57:54,PASS,NONE,EVD_000350,,RUN_000052,Control satisfied with available evidence.,v1.0
CR_000038,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-13T03:39:36,PASS,NONE,EVD_000474,,,Control satisfied with available evidence.,v1.0
CR_000039,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-08T17:03:41,PASS,NONE,EVD_000258,,,Control satisfied with available evidence.,v1.0
CR_000040,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-08T09:59:14,PASS,NONE,EVD_000293,,,Control satisfied with available evidence.,v1.0
CR_000041,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-09T13:14:45,PASS,NONE,EVD_000514,,,Control satisfied with available evidence.,v1.0
CR_000042,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-14T05:32:56,FAIL,HIGH,EVD_000302,,RUN_000086,Control violation detected; review linked evidence.,v1.0
CR_000043,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-08T08:12:28,PASS,NONE,EVD_000366,,RUN_000119,Control satisfied with available evidence.,v1.0
CR_000044,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-10T13:36:03,PASS,NONE,EVD_000303,,,Control satisfied with available evidence.,v1.0
CR_000045,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-01T14:25:54,PASS,NONE,EVD_000258,,RUN_000088,Control satisfied with available evidence.,v1.0
CR_000046,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-12T05:12:26,NOT_EVALUATED,UNKNOWN,,,RUN_000055,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000047,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-01T15:17:22,PASS,NONE,EVD_000183,ARQ_00023,,Control satisfied with available evidence.,v1.0
CR_000048,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-15T16:00:42,PASS,NONE,EVD_000088,,RUN_000091,Control satisfied with available evidence.,v1.0
CR_000049,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-10T17:56:28,PASS,NONE,EVD_000314,ARQ_00047,,Control satisfied with available evidence.,v1.0
CR_000050,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-10T08:39:19,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000051,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-13T18:28:42,FAIL,MEDIUM,EVD_000414,,,Control violation detected; review linked evidence.,v1.0
CR_000052,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-15T10:13:47,PASS,NONE,EVD_000299,ARQ_00065,,Control satisfied with available evidence.,v1.0
CR_000053,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-12T05:37:08,PASS,NONE,EVD_000513,,,Control satisfied with available evidence.,v1.0
CR_000054,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-15T00:31:23,PASS,NONE,EVD_000265,,,Control satisfied with available evidence.,v1.0
CR_000055,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-01T07:51:45,PASS,NONE,EVD_000221,,RUN_000093,Control satisfied with available evidence.,v1.0
CR_000056,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-02T14:47:46,PASS,NONE,EVD_000372,,,Control satisfied with available evidence.,v1.0
CR_000057,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-12T06:26:19,FAIL,MEDIUM,EVD_000185,,RUN_000014,Control violation detected; review linked evidence.,v1.0
CR_000058,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-11T01:57:50,PASS,NONE,EVD_000384,,,Control satisfied with available evidence.,v1.0
CR_000059,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-06T03:09:05,FAIL,CRITICAL,EVD_000490,,,Control violation detected; review linked evidence.,v1.0
CR_000060,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-11T06:44:43,PASS,NONE,EVD_000110,,,Control satisfied with available evidence.,v1.0
CR_000061,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-07T00:30:05,PASS,NONE,EVD_000063,,,Control satisfied with available evidence.,v1.0
CR_000062,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-11T17:11:50,PASS,NONE,EVD_000458,,,Control satisfied with available evidence.,v1.0
CR_000063,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-13T06:06:07,PASS,NONE,EVD_000423,ARQ_00072,,Control satisfied with available evidence.,v1.0
CR_000064,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-08T08:10:47,PASS,NONE,EVD_000451,,,Control satisfied with available evidence.,v1.0
CR_000065,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-10T18:32:24,PASS,NONE,EVD_000098,,,Control satisfied with available evidence.,v1.0
CR_000066,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-02T16:31:07,PASS,NONE,EVD_000003,ARQ_00057,,Control satisfied with available evidence.,v1.0
CR_000067,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-11T14:37:55,PASS,NONE,EVD_000401,,,Control satisfied with available evidence.,v1.0
CR_000068,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-05T12:06:43,PASS,NONE,EVD_000490,,,Control satisfied with available evidence.,v1.0
CR_000069,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-12T13:58:25,PASS,NONE,EVD_000477,,,Control satisfied with available evidence.,v1.0
CR_000070,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-03T02:23:23,PASS,NONE,EVD_000046,ARQ_00065,,Control satisfied with available evidence.,v1.0
CR_000071,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-14T18:48:53,FAIL,MEDIUM,EVD_000451,,RUN_000038,Control violation detected; review linked evidence.,v1.0
CR_000072,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-11T06:50:20,FAIL,HIGH,EVD_000372,,,Control violation detected; review linked evidence.,v1.0
CR_000073,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-12T20:19:35,PASS,NONE,EVD_000469,,,Control satisfied with available evidence.,v1.0
CR_000074,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-07T22:33:39,FAIL,MEDIUM,EVD_000292,ARQ_00023,,Control violation detected; review linked evidence.,v1.0
CR_000075,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-11T17:36:55,PASS,NONE,EVD_000497,,,Control satisfied with available evidence.,v1.0
CR_000076,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-08T07:19:52,PASS,NONE,EVD_000138,,,Control satisfied with available evidence.,v1.0
CR_000077,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-04T18:50:44,PASS,NONE,EVD_000126,,RUN_000028,Control satisfied with available evidence.,v1.0
CR_000078,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-08T00:25:23,FAIL,HIGH,EVD_000288,,,Control violation detected; review linked evidence.,v1.0
CR_000079,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-10T11:57:41,PASS,NONE,EVD_000542,,RUN_000082,Control satisfied with available evidence.,v1.0
CR_000080,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-04T16:34:35,PASS,NONE,EVD_000098,,,Control satisfied with available evidence.,v1.0
CR_000081,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-05T11:52:57,PASS,NONE,EVD_000179,,,Control satisfied with available evidence.,v1.0
CR_000082,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-15T08:39:07,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000083,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-07T05:48:32,PASS,NONE,EVD_000059,,RUN_000073,Control satisfied with available evidence.,v1.0
CR_000084,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-13T15:53:03,PASS,NONE,EVD_000223,,RUN_000092,Control satisfied with available evidence.,v1.0
CR_000085,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-13T08:04:17,PASS,NONE,EVD_000182,,,Control satisfied with available evidence.,v1.0
CR_000086,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-13T03:46:53,FAIL,MEDIUM,EVD_000565,,,Control violation detected; review linked evidence.,v1.0
CR_000087,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-09T02:15:22,PASS,NONE,EVD_000470,,RUN_000091,Control satisfied with available evidence.,v1.0
CR_000088,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-10T17:24:14,PASS,NONE,EVD_000310,,RUN_000042,Control satisfied with available evidence.,v1.0
CR_000089,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-09T22:05:01,PASS,NONE,EVD_000100,ARQ_00018,,Control satisfied with available evidence.,v1.0
CR_000090,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-10T17:15:35,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000091,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-11T23:28:57,PASS,NONE,EVD_000535,,,Control satisfied with available evidence.,v1.0
CR_000092,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-06T06:39:36,FAIL,CRITICAL,EVD_000268,ARQ_00066,,Control violation detected; review linked evidence.,v1.0
CR_000093,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-13T11:23:02,PASS,NONE,EVD_000121,,,Control satisfied with available evidence.,v1.0
CR_000094,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-15T07:20:18,FAIL,CRITICAL,EVD_000104,,RUN_000062,Control violation detected; review linked evidence.,v1.0
CR_000095,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-02T19:16:38,PASS,NONE,EVD_000326,,,Control satisfied with available evidence.,v1.0
CR_000096,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-11T04:21:02,PASS,NONE,EVD_000435,,RUN_000057,Control satisfied with available evidence.,v1.0
CR_000097,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-14T11:18:35,PASS,NONE,EVD_000392,,,Control satisfied with available evidence.,v1.0
CR_000098,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-03T11:13:02,FAIL,CRITICAL,EVD_000040,,RUN_000108,Control violation detected; review linked evidence.,v1.0
CR_000099,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-02T06:19:58,PASS,NONE,EVD_000272,,,Control satisfied with available evidence.,v1.0
CR_000100,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-10T06:43:20,PASS,NONE,EVD_000453,,,Control satisfied with available evidence.,v1.0
CR_000101,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-12T22:28:58,PASS,NONE,EVD_000142,,,Control satisfied with available evidence.,v1.0
CR_000102,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-09T14:24:25,PASS,NONE,EVD_000401,,,Control satisfied with available evidence.,v1.0
CR_000103,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-07T20:49:39,PASS,NONE,EVD_000130,,,Control satisfied with available evidence.,v1.0
CR_000104,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-10T02:36:52,FAIL,MEDIUM,EVD_000228,,,Control violation detected; review linked evidence.,v1.0
CR_000105,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-03T16:56:47,PASS,NONE,EVD_000289,,,Control satisfied with available evidence.,v1.0
CR_000106,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-08T08:46:51,PASS,NONE,EVD_000521,,,Control satisfied with available evidence.,v1.0
CR_000107,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-09T20:11:41,PASS,NONE,EVD_000023,,,Control satisfied with available evidence.,v1.0
CR_000108,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-08T01:00:45,FAIL,HIGH,EVD_000461,,,Control violation detected; review linked evidence.,v1.0
CR_000109,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-15T09:54:44,PASS,NONE,EVD_000536,,,Control satisfied with available evidence.,v1.0
CR_000110,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-06T12:24:40,PASS,NONE,EVD_000026,,RUN_000109,Control satisfied with available evidence.,v1.0
CR_000111,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-14T00:21:54,NOT_EVALUATED,UNKNOWN,,,RUN_000049,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000112,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-10T09:17:43,PASS,NONE,EVD_000026,,,Control satisfied with available evidence.,v1.0
CR_000113,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-11T13:09:56,PASS,NONE,EVD_000055,ARQ_00038,,Control satisfied with available evidence.,v1.0
CR_000114,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-09T13:05:43,PASS,NONE,EVD_000499,,,Control satisfied with available evidence.,v1.0
CR_000115,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-12T18:18:05,PASS,NONE,EVD_000502,,RUN_000053,Control satisfied with available evidence.,v1.0
CR_000116,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-15T07:09:16,PASS,NONE,EVD_000482,,,Control satisfied with available evidence.,v1.0
CR_000117,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-04T03:59:32,PASS,NONE,EVD_000513,,,Control satisfied with available evidence.,v1.0
CR_000118,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-14T07:59:15,PASS,NONE,EVD_000358,,,Control satisfied with available evidence.,v1.0
CR_000119,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-09T17:02:20,PASS,NONE,EVD_000270,,,Control satisfied with available evidence.,v1.0
CR_000120,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-05T15:45:51,PASS,NONE,EVD_000223,,RUN_000014,Control satisfied with available evidence.,v1.0
CR_000121,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-14T12:37:24,PASS,NONE,EVD_000265,ARQ_00033,,Control satisfied with available evidence.,v1.0
CR_000122,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-01T12:07:53,PASS,NONE,EVD_000153,,RUN_000108,Control satisfied with available evidence.,v1.0
CR_000123,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-03T17:30:43,PASS,NONE,EVD_000291,,,Control satisfied with available evidence.,v1.0
CR_000124,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-02T19:14:27,PASS,NONE,EVD_000208,,RUN_000061,Control satisfied with available evidence.,v1.0
CR_000125,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-01T20:46:30,PASS,NONE,EVD_000318,,RUN_000085,Control satisfied with available evidence.,v1.0
CR_000126,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-06T08:29:03,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000127,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-07T07:29:21,PASS,NONE,EVD_000098,,,Control satisfied with available evidence.,v1.0
CR_000128,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-13T15:02:27,FAIL,MEDIUM,EVD_000402,,RUN_000061,Control violation detected; review linked evidence.,v1.0
CR_000129,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-14T05:25:36,FAIL,CRITICAL,EVD_000499,,,Control violation detected; review linked evidence.,v1.0
CR_000130,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-06T01:54:29,FAIL,MEDIUM,EVD_000207,,,Control violation detected; review linked evidence.,v1.0
CR_000131,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-04T02:56:43,PASS,NONE,EVD_000270,,,Control satisfied with available evidence.,v1.0
CR_000132,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-10T23:55:10,FAIL,CRITICAL,EVD_000146,,RUN_000058,Control violation detected; review linked evidence.,v1.0
CR_000133,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-10T13:18:52,FAIL,MEDIUM,EVD_000363,,,Control violation detected; review linked evidence.,v1.0
CR_000134,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-15T06:09:54,PASS,NONE,EVD_000499,,,Control satisfied with available evidence.,v1.0
CR_000135,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-04T10:41:08,PASS,NONE,EVD_000231,,RUN_000011,Control satisfied with available evidence.,v1.0
CR_000136,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-15T00:35:00,PASS,NONE,EVD_000534,,,Control satisfied with available evidence.,v1.0
CR_000137,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-15T04:17:30,PASS,NONE,EVD_000118,,,Control satisfied with available evidence.,v1.0
CR_000138,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-06T10:51:44,FAIL,MEDIUM,EVD_000001,ARQ_00056,,Control violation detected; review linked evidence.,v1.0
CR_000139,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-04T12:22:36,PASS,NONE,EVD_000400,,RUN_000092,Control satisfied with available evidence.,v1.0
CR_000140,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-07T20:10:32,PASS,NONE,EVD_000594,,,Control satisfied with available evidence.,v1.0
CR_000141,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-07T10:17:11,PASS,NONE,EVD_000260,,RUN_000032,Control satisfied with available evidence.,v1.0
CR_000142,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-09T04:37:52,PASS,NONE,EVD_000273,,,Control satisfied with available evidence.,v1.0
CR_000143,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-08T20:00:55,PASS,NONE,EVD_000029,,,Control satisfied with available evidence.,v1.0
CR_000144,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-15T02:46:57,PASS,NONE,EVD_000110,,RUN_000073,Control satisfied with available evidence.,v1.0
CR_000145,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-13T04:03:33,FAIL,CRITICAL,EVD_000557,,,Control violation detected; review linked evidence.,v1.0
CR_000146,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-08T07:15:38,FAIL,HIGH,EVD_000067,ARQ_00039,,Control violation detected; review linked evidence.,v1.0
CR_000147,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-06T23:10:42,PASS,NONE,EVD_000173,,RUN_000060,Control satisfied with available evidence.,v1.0
CR_000148,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-14T22:46:43,PASS,NONE,EVD_000068,,RUN_000062,Control satisfied with available evidence.,v1.0
CR_000149,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-06T15:25:42,PASS,NONE,EVD_000344,,RUN_000024,Control satisfied with available evidence.,v1.0
CR_000150,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-01T09:05:32,PASS,NONE,EVD_000428,,RUN_000065,Control satisfied with available evidence.,v1.0
CR_000151,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-13T05:07:11,PASS,NONE,EVD_000376,,,Control satisfied with available evidence.,v1.0
CR_000152,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-05T10:37:51,PASS,NONE,EVD_000164,,RUN_000078,Control satisfied with available evidence.,v1.0
CR_000153,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-06T18:31:38,PASS,NONE,EVD_000305,ARQ_00068,,Control satisfied with available evidence.,v1.0
CR_000154,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-02T04:20:18,NOT_EVALUATED,UNKNOWN,,,RUN_000015,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000155,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-09T07:10:34,PASS,NONE,EVD_000046,,,Control satisfied with available evidence.,v1.0
