finding_id,control_result_id,control_id,title,severity,status,opened_at,assigned_to_user_id,root_cause_summary,recommended_action,hitl_decision,closed_at
FND_00048,CR_000253,AC-002,Violation detected: Requester must not self-approve,HIGH,REMEDIATED,2026-01-11T20:50:02,USR_0017,Quy trình phê duyệt chưa đầy đủ,Bổ sung approval/evidence bắt buộc,APPROVED_REMEDIATION,
FND_00049,CR_000262,AC-002,Violation detected: Requester must not self-approve,HIGH,IN_REVIEW,2026-01-01T21:35:38,USR_0049,Thiếu evidence từ hệ thống nguồn,Tách vai trò author/approver/deployer,,
FND_00050,CR_000263,CM-002,"Violation detected: Code author, approver and deployer must be separated",CRITICAL,IN_REVIEW,2026-01-12T10:57:13,USR_0022,Quyền chưa được thu hồi kịp thời,Chạy lại pipeline và kiểm tra dữ liệu quarantine,,
FND_00051,CR_000264,DQ-001,Violation detected: Pipeline run must complete successfully,MEDIUM,OPEN,2026-01-08T21:00:36,USR_0017,Pipeline hoặc deployment không đáp ứng control,Rà soát và thu hồi quyền không cần thiết,,
FND_00052,CR_000268,CM-001,Violation detected: Production deployment must have RFC,HIGH,IN_REVIEW,2026-01-14T08:14:40,USR_0022,Quyền chưa được thu hồi kịp thời,Tách vai trò author/approver/deployer,,
FND_00053,CR_000272,CM-003,Violation detected: Production deployment requires successful test evidence,CRITICAL,OPEN,2026-01-14T05:53:03,USR_0025,Pipeline hoặc deployment không đáp ứng control,Rà soát và thu hồi quyền không cần thiết,,
FND_00054,CR_000279,AC-003,Violation detected: Sensitive export requires approval,CRITICAL,OPEN,2026-01-06T22:05:58,USR_0020,Quy trình phê duyệt chưa đầy đủ,Chạy lại pipeline và kiểm tra dữ liệu quarantine,,
FND_00055,CR_000282,DQ-002,Violation detected: Quarantine rate must remain below threshold,HIGH,CLOSED,2026-01-09T20:41:33,USR_0022,Thao tác vượt phạm vi được phê duyệt,Điều tra audit log và xác nhận phạm vi ảnh hưởng,REJECTED_PROPOSAL,2026-01-10T20:41:33
FND_00056,CR_000284,CM-001,Violation detected: Production deployment must have RFC,HIGH,OPEN,2026-01-05T12:06:00,USR_0005,Quy trình phê duyệt chưa đầy đủ,Tách vai trò author/approver/deployer,,
FND_00057,CR_000287,DQ-002,Violation detected: Quarantine rate must remain below threshold,HIGH,REMEDIATED,2026-01-13T22:33:26,USR_0001,Thiếu evidence từ hệ thống nguồn,Chạy lại pipeline và kiểm tra dữ liệu quarantine,REJECTED_PROPOSAL,
FND_00058,CR_000294,DQ-001,Violation detected: Pipeline run must complete successfully,MEDIUM,OPEN,2026-01-06T19:02:35,USR_0035,Quy trình phê duyệt chưa đầy đủ,Bổ sung approval/evidence bắt buộc,,
FND_00059,CR_000298,AC-003,Violation detected: Sensitive export requires approval,CRITICAL,REMEDIATED,2026-01-09T10:22:51,USR_0002,Quyền chưa được thu hồi kịp thời,Bổ sung approval/evidence bắt buộc,REJECTED_PROPOSAL,
FND_00060,CR_000299,CM-001,Violation detected: Production deployment must have RFC,HIGH,CLOSED,2026-01-08T00:23:47,USR_0022,Quyền chưa được thu hồi kịp thời,Bổ sung approval/evidence bắt buộc,APPROVED_REMEDIATION,2026-01-21T00:23:47
